year,state,month,number,date
2002,Rio,February,38,1/1/2002
2003,Rio,February,13,1/1/2003
2004,Rio,February,52,1/1/2004
2005,Rio,February,36,1/1/2005
2006,Rio,February,34,1/1/2006
2007,Rio,February,24,1/1/2007
2008,Rio,February,30,1/1/2008
2009,Rio,February,15,1/1/2009
2010,Rio,February,23,1/1/2010
2011,Rio,February,26,1/1/2011
2012,Rio,February,39,1/1/2012
2013,Rio,February,43,1/1/2013
2014,Rio,February,37,1/1/2014
2015,Rio,February,41,1/1/2015
2016,Rio,February,55,1/1/2016
2017,Rio,February,31,1/1/2017
1998,Rio,March,0,1/1/1998
1999,Rio,March,38,1/1/1999
2000,Rio,March,51,1/1/2000
2001,Rio,March,11,1/1/2001
2002,Rio,March,26,1/1/2002
2003,Rio,March,27,1/1/2003
2004,Rio,March,149,1/1/2004
2005,Rio,March,153,1/1/2005
2006,Rio,March,76,1/1/2006
2007,Rio,March,8,1/1/2007
2008,Rio,March,38,1/1/2008
2009,Rio,March,41,1/1/2009
2010,Rio,March,21,1/1/2010
2011,Rio,March,31,1/1/2011
2012,Rio,March,50,1/1/2012
2013,Rio,March,44,1/1/2013
2014,Rio,March,58,1/1/2014
2015,Rio,March,108,1/1/2015
2016,Rio,March,30,1/1/2016
2017,Rio,March,34,1/1/2017
1998,Rio,April,0,1/1/1998
1999,Rio,April,12,1/1/1999
2000,Rio,April,1,1/1/2000
2001,Rio,April,3,1/1/2001
2002,Rio,April,6,1/1/2002
2003,Rio,April,30,1/1/2003
2004,Rio,April,98,1/1/2004
2005,Rio,April,14,1/1/2005
2006,Rio,April,59,1/1/2006
2007,Rio,April,4,1/1/2007
2008,Rio,April,110,1/1/2008
2009,Rio,April,145,1/1/2009
2010,Rio,April,72,1/1/2010
2011,Rio,April,41,1/1/2011
2012,Rio,April,41,1/1/2012
2013,Rio,April,47,1/1/2013
2014,Rio,April,60,1/1/2014
2015,Rio,April,175,1/1/2015
2016,Rio,April,32,1/1/2016
2017,Rio,April,51,1/1/2017
1998,Rio,May,0,1/1/1998
1999,Rio,May,13,1/1/1999
2000,Rio,May,4,1/1/2000
2001,Rio,May,4,1/1/2001
2002,Rio,May,7,1/1/2002
2003,Rio,May,18,1/1/2003
2004,Rio,May,4,1/1/2004
2005,Rio,May,24,1/1/2005
2006,Rio,May,24,1/1/2006
2007,Rio,May,3,1/1/2007
2008,Rio,May,20,1/1/2008
2009,Rio,May,177,1/1/2009
2010,Rio,May,9,1/1/2010
2011,Rio,May,20,1/1/2011
2012,Rio,May,112,1/1/2012
2013,Rio,May,14,1/1/2013
2014,Rio,May,63,1/1/2014
2015,Rio,May,169,1/1/2015
2016,Rio,May,37,1/1/2016
2017,Rio,May,43,1/1/2017
1998,Rio,June,0,1/1/1998
1999,Rio,June,9,1/1/1999
2000,Rio,June,0,1/1/2000
2001,Rio,June,1,1/1/2001
2002,Rio,June,4,1/1/2002
2003,Rio,June,14,1/1/2003
2004,Rio,June,52,1/1/2004
2005,Rio,June,50,1/1/2005
2006,Rio,June,7,1/1/2006
2007,Rio,June,10,1/1/2007
2008,Rio,June,16,1/1/2008
2009,Rio,June,30,1/1/2009
2010,Rio,June,4,1/1/2010
2011,Rio,June,12,1/1/2011
2012,Rio,June,86,1/1/2012
2013,Rio,June,10,1/1/2013
2014,Rio,June,62,1/1/2014
2015,Rio,June,68,1/1/2015
2016,Rio,June,261,1/1/2016
2017,Rio,June,103,1/1/2017
1998,Rio,July,0,1/1/1998
1999,Rio,July,10,1/1/1999
2000,Rio,July,6,1/1/2000
2001,Rio,July,6,1/1/2001
2002,Rio,July,93,1/1/2002
2003,Rio,July,55,1/1/2003
2004,Rio,July,156,1/1/2004
2005,Rio,July,47,1/1/2005
2006,Rio,July,45,1/1/2006
2007,Rio,July,7,1/1/2007
2008,Rio,July,25,1/1/2008
2009,Rio,July,47,1/1/2009
2010,Rio,July,34,1/1/2010
2011,Rio,July,45,1/1/2011
2012,Rio,July,134,1/1/2012
2013,Rio,July,42,1/1/2013
2014,Rio,July,209,1/1/2014
2015,Rio,July,60,1/1/2015
2016,Rio,July,865,1/1/2016
2017,Rio,July,885,1/1/2017
1998,Rio,August,9,1/1/1998
1999,Rio,August,24,1/1/1999
2000,Rio,August,18,1/1/2000
2001,Rio,August,36,1/1/2001
2002,Rio,August,824,1/1/2002
2003,Rio,August,1.419,1/1/2003
2004,Rio,August,403,1/1/2004
2005,Rio,August,120,1/1/2005
2006,Rio,August,642,1/1/2006
2007,Rio,August,258,1/1/2007
2008,Rio,August,56,1/1/2008
2009,Rio,August,1.057,1/1/2009
2010,Rio,August,267,1/1/2010
2011,Rio,August,116,1/1/2011
2012,Rio,August,410,1/1/2012
2013,Rio,August,156,1/1/2013
2014,Rio,August,1.168,1/1/2014
2015,Rio,August,414,1/1/2015
2016,Rio,August,1.111,1/1/2016
2017,Rio,August,819,1/1/2017
1998,Rio,September,60,1/1/1998
1999,Rio,September,19,1/1/1999
2000,Rio,September,27,1/1/2000
2001,Rio,September,2,1/1/2001
2002,Rio,September,226,1/1/2002
2003,Rio,September,828,1/1/2003
2004,Rio,September,431,1/1/2004
2005,Rio,September,189,1/1/2005
2006,Rio,September,444,1/1/2006
2007,Rio,September,573,1/1/2007
2008,Rio,September,97,1/1/2008
2009,Rio,September,39,1/1/2009
2010,Rio,September,250,1/1/2010
2011,Rio,September,449,1/1/2011
2012,Rio,September,113,1/1/2012
2013,Rio,September,290,1/1/2013
2014,Rio,September,224,1/1/2014
2015,Rio,September,222,1/1/2015
2016,Rio,September,628,1/1/2016
2017,Rio,September,343,1/1/2017
1998,Rio,October,169,1/1/1998
1999,Rio,October,56,1/1/1999
2000,Rio,October,10,1/1/2000
2001,Rio,October,13,1/1/2001
2002,Rio,October,10,1/1/2002
2003,Rio,October,360,1/1/2003
2004,Rio,October,680,1/1/2004
2005,Rio,October,83,1/1/2005
2006,Rio,October,160,1/1/2006
2007,Rio,October,21,1/1/2007
2008,Rio,October,135,1/1/2008
2009,Rio,October,148,1/1/2009
2010,Rio,October,95,1/1/2010
2011,Rio,October,74,1/1/2011
2012,Rio,October,91,1/1/2012
2013,Rio,October,104,1/1/2013
2014,Rio,October,110,1/1/2014
2015,Rio,October,70,1/1/2015
2016,Rio,October,93,1/1/2016
2017,Rio,October,101,1/1/2017
1998,Rio,November,28,1/1/1998
1999,Rio,November,103,1/1/1999
2000,Rio,November,18,1/1/2000
2001,Rio,November,49,1/1/2001
2002,Rio,November,117,1/1/2002
2003,Rio,November,121,1/1/2003
2004,Rio,November,161,1/1/2004
2005,Rio,November,227,1/1/2005
2006,Rio,November,27,1/1/2006
2007,Rio,November,13,1/1/2007
2008,Rio,November,14,1/1/2008
2009,Rio,November,4,1/1/2009
2010,Rio,November,90,1/1/2010
2011,Rio,November,117,1/1/2011
2012,Rio,November,74,1/1/2012
2013,Rio,November,110,1/1/2013
2014,Rio,November,68,1/1/2014
2015,Rio,November,30,1/1/2015
2016,Rio,November,105,1/1/2016
2017,Rio,November,137,1/1/2017
1998,Rio,December,605,1/1/1998
1999,Rio,December,1.11,1/1/1999
2000,Rio,December,80,1/1/2000
2001,Rio,December,80,1/1/2001
2002,Rio,December,45,1/1/2002
2003,Rio,December,98,1/1/2003
2004,Rio,December,99,1/1/2004
2005,Rio,December,35,1/1/2005
2006,Rio,December,15,1/1/2006
2007,Rio,December,25,1/1/2007
2008,Rio,December,32,1/1/2008
2009,Rio,December,15,1/1/2009
2010,Rio,December,103,1/1/2010
2011,Rio,December,69,1/1/2011
2012,Rio,December,38,1/1/2012
2013,Rio,December,62,1/1/2013
2014,Rio,December,31,1/1/2014
2015,Rio,December,42,1/1/2015
2016,Rio,December,79,1/1/2016
1998,Rondonia,January,0,1/1/1998
1999,Rondonia,January,1,1/1/1999
2000,Rondonia,January,0,1/1/2000
2001,Rondonia,January,0,1/1/2001
2002,Rondonia,January,6,1/1/2002
2003,Rondonia,January,62,1/1/2003
2004,Rondonia,January,30,1/1/2004
2005,Rondonia,January,99,1/1/2005
2006,Rondonia,January,16,1/1/2006
2007,Rondonia,January,33,1/1/2007
2008,Rondonia,January,4,1/1/2008
2009,Rondonia,January,17,1/1/2009
2010,Rondonia,January,18,1/1/2010
2011,Rondonia,January,1,1/1/2011
2012,Rondonia,January,2,1/1/2012
2013,Rondonia,January,7,1/1/2013
2014,Rondonia,January,12,1/1/2014
2015,Rondonia,January,30,1/1/2015
2016,Rondonia,January,93,1/1/2016
2017,Rondonia,January,44,1/1/2017
1998,Rondonia,February,0,1/1/1998
1999,Rondonia,February,1,1/1/1999
2000,Rondonia,February,6,1/1/2000
2001,Rondonia,February,2,1/1/2001
2002,Rondonia,February,8,1/1/2002
2003,Rondonia,February,10,1/1/2003
2004,Rondonia,February,12,1/1/2004
2005,Rondonia,February,42,1/1/2005
2006,Rondonia,February,17,1/1/2006
2007,Rondonia,February,8,1/1/2007
2008,Rondonia,February,7,1/1/2008
2009,Rondonia,February,1,1/1/2009
2010,Rondonia,February,9,1/1/2010
2011,Rondonia,February,2,1/1/2011
2012,Rondonia,February,9,1/1/2012
2013,Rondonia,February,8,1/1/2013
2014,Rondonia,February,5,1/1/2014
2015,Rondonia,February,22,1/1/2015
2016,Rondonia,February,88,1/1/2016
2017,Rondonia,February,10,1/1/2017
1998,Rondonia,March,0,1/1/1998
1999,Rondonia,March,8,1/1/1999
2000,Rondonia,March,9,1/1/2000
2001,Rondonia,March,0,1/1/2001
2002,Rondonia,March,1,1/1/2002
2003,Rondonia,March,13,1/1/2003
2004,Rondonia,March,20,1/1/2004
2005,Rondonia,March,17,1/1/2005
2006,Rondonia,March,15,1/1/2006
2007,Rondonia,March,20,1/1/2007
2008,Rondonia,March,2,1/1/2008
2009,Rondonia,March,12,1/1/2009
2010,Rondonia,March,11,1/1/2010
2011,Rondonia,March,6,1/1/2011
2012,Rondonia,March,6,1/1/2012
2013,Rondonia,March,23,1/1/2013
2014,Rondonia,March,13,1/1/2014
2015,Rondonia,March,15,1/1/2015
2016,Rondonia,March,25,1/1/2016
2017,Rondonia,March,21,1/1/2017
1998,Rondonia,April,0,1/1/1998
1999,Rondonia,April,3,1/1/1999
2000,Rondonia,April,0,1/1/2000
2001,Rondonia,April,0,1/1/2001
2002,Rondonia,April,3,1/1/2002
2003,Rondonia,April,10,1/1/2003
2004,Rondonia,April,14,1/1/2004
2005,Rondonia,April,7,1/1/2005
2006,Rondonia,April,0,1/1/2006
2007,Rondonia,April,0,1/1/2007
2008,Rondonia,April,8,1/1/2008
2009,Rondonia,April,3,1/1/2009
2010,Rondonia,April,19,1/1/2010
2011,Rondonia,April,8,1/1/2011
2012,Rondonia,April,12,1/1/2012
2013,Rondonia,April,9,1/1/2013
2014,Rondonia,April,15,1/1/2014
2015,Rondonia,April,15,1/1/2015
2016,Rondonia,April,59,1/1/2016
2017,Rondonia,April,19,1/1/2017
1998,Rondonia,May,0,1/1/1998
1999,Rondonia,May,3,1/1/1999
2000,Rondonia,May,13,1/1/2000
2001,Rondonia,May,5,1/1/2001
2002,Rondonia,May,10,1/1/2002
2003,Rondonia,May,21,1/1/2003
2004,Rondonia,May,9,1/1/2004
2005,Rondonia,May,38,1/1/2005
2006,Rondonia,May,7,1/1/2006
2007,Rondonia,May,4,1/1/2007
2008,Rondonia,May,1,1/1/2008
2009,Rondonia,May,6,1/1/2009
2010,Rondonia,May,41,1/1/2010
2011,Rondonia,May,54,1/1/2011
2012,Rondonia,May,22,1/1/2012
2013,Rondonia,May,9,1/1/2013
2014,Rondonia,May,28,1/1/2014
2015,Rondonia,May,13,1/1/2015
2016,Rondonia,May,44,1/1/2016
2017,Rondonia,May,31,1/1/2017
1998,Rondonia,June,26,1/1/1998
1999,Rondonia,June,10,1/1/1999
2000,Rondonia,June,54,1/1/2000
2001,Rondonia,June,31,1/1/2001
2002,Rondonia,June,141,1/1/2002
2003,Rondonia,June,74,1/1/2003
2004,Rondonia,June,151,1/1/2004
2005,Rondonia,June,153,1/1/2005
2006,Rondonia,June,40,1/1/2006
2007,Rondonia,June,71,1/1/2007
2008,Rondonia,June,11,1/1/2008
2009,Rondonia,June,13,1/1/2009
2010,Rondonia,June,44,1/1/2010
2011,Rondonia,June,130,1/1/2011
2012,Rondonia,June,32,1/1/2012
2013,Rondonia,June,22,1/1/2013
2014,Rondonia,June,92,1/1/2014
2015,Rondonia,June,119,1/1/2015
2016,Rondonia,June,170,1/1/2016
2017,Rondonia,June,192,1/1/2017
1998,Rondonia,July,365,1/1/1998
1999,Rondonia,July,135,1/1/1999
2000,Rondonia,July,117,1/1/2000
2001,Rondonia,July,74,1/1/2001
2002,Rondonia,July,539,1/1/2002
2003,Rondonia,July,516,1/1/2003
2004,Rondonia,July,1.233,1/1/2004
2005,Rondonia,July,798,1/1/2005
2006,Rondonia,July,314,1/1/2006
2007,Rondonia,July,187,1/1/2007
2008,Rondonia,July,138,1/1/2008
2009,Rondonia,July,110,1/1/2009
2010,Rondonia,July,747,1/1/2010
2011,Rondonia,July,293,1/1/2011
2012,Rondonia,July,205,1/1/2012
2013,Rondonia,July,117,1/1/2013
2014,Rondonia,July,192,1/1/2014
2015,Rondonia,July,423,1/1/2015
2016,Rondonia,July,969,1/1/2016
2017,Rondonia,July,1.28,1/1/2017
1998,Rondonia,August,2.254,1/1/1998
1999,Rondonia,August,1.976,1/1/1999
2000,Rondonia,August,2.197,1/1/2000
2001,Rondonia,August,2.132,1/1/2001
2002,Rondonia,August,3.465,1/1/2002
2003,Rondonia,August,7.06,1/1/2003
2004,Rondonia,August,6.893,1/1/2004
2005,Rondonia,August,6.672,1/1/2005
2006,Rondonia,August,3.124,1/1/2006
2007,Rondonia,August,4.786,1/1/2007
2008,Rondonia,August,1.251,1/1/2008
2009,Rondonia,August,484,1/1/2009
2010,Rondonia,August,4.388,1/1/2010
2011,Rondonia,August,1.161,1/1/2011
2012,Rondonia,August,2.209,1/1/2012
2013,Rondonia,August,885,1/1/2013
2014,Rondonia,August,3.038,1/1/2014
2015,Rondonia,August,3.762,1/1/2015
2016,Rondonia,August,3.675,1/1/2016
2017,Rondonia,August,4.287,1/1/2017
1998,Rondonia,September,3.753,1/1/1998
1999,Rondonia,September,3.062,1/1/1999
2000,Rondonia,September,2.438,1/1/2000
2001,Rondonia,September,1.927,1/1/2001
2002,Rondonia,September,7.067,1/1/2002
2003,Rondonia,September,6.89,1/1/2003
2004,Rondonia,September,13.05,1/1/2004
2005,Rondonia,September,13.972,1/1/2005
2006,Rondonia,September,9.92,1/1/2006
2007,Rondonia,September,6.832,1/1/2007
2008,Rondonia,September,3.726,1/1/2008
2009,Rondonia,September,1.869,1/1/2009
2010,Rondonia,September,4.893,1/1/2010
2011,Rondonia,September,1.782,1/1/2011
2012,Rondonia,September,2.471,1/1/2012
2013,Rondonia,September,1.776,1/1/2013
2014,Rondonia,September,2.8,1/1/2014
2015,Rondonia,September,6.129,1/1/2015
2016,Rondonia,September,4.208,1/1/2016
2017,Rondonia,September,5.638,1/1/2017
1998,Rondonia,October,483,1/1/1998
1999,Rondonia,October,1.884,1/1/1999
2000,Rondonia,October,644,1/1/2000
2001,Rondonia,October,796,1/1/2001
2002,Rondonia,October,3.554,1/1/2002
2003,Rondonia,October,4.962,1/1/2003
2004,Rondonia,October,3.094,1/1/2004
2005,Rondonia,October,2.559,1/1/2005
2006,Rondonia,October,1.148,1/1/2006
2007,Rondonia,October,2.023,1/1/2007
2008,Rondonia,October,1.482,1/1/2008
2009,Rondonia,October,1.444,1/1/2009
2010,Rondonia,October,1.307,1/1/2010
2011,Rondonia,October,822,1/1/2011
2012,Rondonia,October,1.229,1/1/2012
2013,Rondonia,October,555,1/1/2013
2014,Rondonia,October,1.063,1/1/2014
2015,Rondonia,October,2.598,1/1/2015
2016,Rondonia,October,1.844,1/1/2016
2017,Rondonia,October,2.19,1/1/2017
1998,Rondonia,November,3,1/1/1998
1999,Rondonia,November,41,1/1/1999
2000,Rondonia,November,13,1/1/2000
2001,Rondonia,November,91,1/1/2001
2002,Rondonia,November,639,1/1/2002
2003,Rondonia,November,526,1/1/2003
2004,Rondonia,November,452,1/1/2004
2005,Rondonia,November,465,1/1/2005
2006,Rondonia,November,253,1/1/2006
2007,Rondonia,November,53,1/1/2007
2008,Rondonia,November,78,1/1/2008
2009,Rondonia,November,128,1/1/2009
2010,Rondonia,November,238,1/1/2010
2011,Rondonia,November,245,1/1/2011
2012,Rondonia,November,174,1/1/2012
2013,Rondonia,November,108,1/1/2013
2014,Rondonia,November,202,1/1/2014
2015,Rondonia,November,1.002,1/1/2015
2016,Rondonia,November,401,1/1/2016
2017,Rondonia,November,372,1/1/2017
1998,Rondonia,December,33,1/1/1998
1999,Rondonia,December,0,1/1/1999
2000,Rondonia,December,7,1/1/2000
2001,Rondonia,December,1,1/1/2001
2002,Rondonia,December,91,1/1/2002
2003,Rondonia,December,214,1/1/2003
2004,Rondonia,December,208,1/1/2004
2005,Rondonia,December,36,1/1/2005
2006,Rondonia,December,4,1/1/2006
2007,Rondonia,December,6,1/1/2007
2008,Rondonia,December,2,1/1/2008
2009,Rondonia,December,9,1/1/2009
2010,Rondonia,December,158,1/1/2010
2011,Rondonia,December,37,1/1/2011
2012,Rondonia,December,50,1/1/2012
2013,Rondonia,December,143,1/1/2013
2014,Rondonia,December,144,1/1/2014
2015,Rondonia,December,282,1/1/2015
2016,Rondonia,December,148,1/1/2016
1998,Roraima,January,0,1/1/1998
1999,Roraima,January,15,1/1/1999
2000,Roraima,January,18,1/1/2000
2001,Roraima,January,101,1/1/2001
2002,Roraima,January,302,1/1/2002
2003,Roraima,January,547,1/1/2003
2004,Roraima,January,355,1/1/2004
2005,Roraima,January,106,1/1/2005
2006,Roraima,January,70,1/1/2006
2007,Roraima,January,194,1/1/2007
2008,Roraima,January,245,1/1/2008
2009,Roraima,January,45,1/1/2009
2010,Roraima,January,351,1/1/2010
2011,Roraima,January,225,1/1/2011
2012,Roraima,January,217,1/1/2012
2013,Roraima,January,397,1/1/2013
2014,Roraima,January,355,1/1/2014
2015,Roraima,January,330,1/1/2015
2016,Roraima,January,1.754,1/1/2016
2017,Roraima,January,108,1/1/2017
1998,Roraima,February,0,1/1/1998
1999,Roraima,February,20,1/1/1999
2000,Roraima,February,57,1/1/2000
2001,Roraima,February,646,1/1/2001
2002,Roraima,February,476,1/1/2002
2003,Roraima,February,767,1/1/2003
2004,Roraima,February,259,1/1/2004
2005,Roraima,February,105,1/1/2005
2006,Roraima,February,283,1/1/2006
2007,Roraima,February,796,1/1/2007
2008,Roraima,February,138,1/1/2008
2009,Roraima,February,153,1/1/2009
2010,Roraima,February,470,1/1/2010
2011,Roraima,February,112,1/1/2011
2012,Roraima,February,130,1/1/2012
2013,Roraima,February,62,1/1/2013
2014,Roraima,February,226,1/1/2014
2015,Roraima,February,418,1/1/2015
2016,Roraima,February,171,1/1/2016
2017,Roraima,February,129,1/1/2017
1998,Roraima,March,0,1/1/1998
1999,Roraima,March,98,1/1/1999
2000,Roraima,March,125,1/1/2000
2001,Roraima,March,1.108,1/1/2001
2002,Roraima,March,820,1/1/2002
2003,Roraima,March,1.131,1/1/2003
2004,Roraima,March,276,1/1/2004
2005,Roraima,March,244,1/1/2005
2006,Roraima,March,385,1/1/2006
2007,Roraima,March,665,1/1/2007
2008,Roraima,March,422,1/1/2008
2009,Roraima,March,176,1/1/2009
2010,Roraima,March,417,1/1/2010
2011,Roraima,March,91,1/1/2011
2012,Roraima,March,99,1/1/2012
2013,Roraima,March,179,1/1/2013
2014,Roraima,March,494,1/1/2014
2015,Roraima,March,163,1/1/2015
2016,Roraima,March,1.081,1/1/2016
2017,Roraima,March,216,1/1/2017
1998,Roraima,April,0,1/1/1998
1999,Roraima,April,16,1/1/1999
2000,Roraima,April,0,1/1/2000
2001,Roraima,April,380,1/1/2001
2002,Roraima,April,41,1/1/2002
2003,Roraima,April,268,1/1/2003
2004,Roraima,April,182,1/1/2004
2005,Roraima,April,22,1/1/2005
2006,Roraima,April,201,1/1/2006
2007,Roraima,April,58,1/1/2007
2008,Roraima,April,175,1/1/2008
2009,Roraima,April,115,1/1/2009
2010,Roraima,April,15,1/1/2010
2011,Roraima,April,108,1/1/2011
2012,Roraima,April,25,1/1/2012
2013,Roraima,April,87,1/1/2013
2014,Roraima,April,162,1/1/2014
2015,Roraima,April,278,1/1/2015
2016,Roraima,April,126,1/1/2016
2017,Roraima,April,51,1/1/2017
1998,Roraima,May,0,1/1/1998
1999,Roraima,May,0,1/1/1999
2000,Roraima,May,7,1/1/2000
2001,Roraima,May,9,1/1/2001
2002,Roraima,May,0,1/1/2002
2003,Roraima,May,0,1/1/2003
2004,Roraima,May,2,1/1/2004
2005,Roraima,May,1,1/1/2005
2006,Roraima,May,0,1/1/2006
2007,Roraima,May,0,1/1/2007
2008,Roraima,May,8,1/1/2008
2009,Roraima,May,219,1/1/2009
2010,Roraima,May,3,1/1/2010
2011,Roraima,May,4,1/1/2011
2012,Roraima,May,18,1/1/2012
2013,Roraima,May,4,1/1/2013
2014,Roraima,May,58,1/1/2014
2015,Roraima,May,12,1/1/2015
2016,Roraima,May,22,1/1/2016
2017,Roraima,May,29,1/1/2017
1998,Roraima,June,0,1/1/1998
1999,Roraima,June,3,1/1/1999
2000,Roraima,June,0,1/1/2000
2001,Roraima,June,1,1/1/2001
2002,Roraima,June,0,1/1/2002
2003,Roraima,June,0,1/1/2003
2004,Roraima,June,6,1/1/2004
2005,Roraima,June,5,1/1/2005
2006,Roraima,June,0,1/1/2006
2007,Roraima,June,1,1/1/2007
2008,Roraima,June,0,1/1/2008
2009,Roraima,June,16,1/1/2009
2010,Roraima,June,0,1/1/2010
2011,Roraima,June,6,1/1/2011
2012,Roraima,June,22,1/1/2012
2013,Roraima,June,6,1/1/2013
2014,Roraima,June,4,1/1/2014
2015,Roraima,June,3,1/1/2015
2016,Roraima,June,7,1/1/2016
2017,Roraima,June,4,1/1/2017
1998,Roraima,July,1,1/1/1998
1999,Roraima,July,4,1/1/1999
2000,Roraima,July,0,1/1/2000
2001,Roraima,July,1,1/1/2001
2002,Roraima,July,7,1/1/2002
2003,Roraima,July,0,1/1/2003
2004,Roraima,July,2,1/1/2004
2005,Roraima,July,2,1/1/2005
2006,Roraima,July,0,1/1/2006
2007,Roraima,July,3,1/1/2007
2008,Roraima,July,0,1/1/2008
2009,Roraima,July,18,1/1/2009
2010,Roraima,July,1,1/1/2010
2011,Roraima,July,9,1/1/2011
2012,Roraima,July,2,1/1/2012
2013,Roraima,July,4,1/1/2013
2014,Roraima,July,9,1/1/2014
2015,Roraima,July,5,1/1/2015
2016,Roraima,July,0,1/1/2016
2017,Roraima,July,3,1/1/2017
1998,Roraima,August,0,1/1/1998
1999,Roraima,August,1,1/1/1999
2000,Roraima,August,9,1/1/2000
2001,Roraima,August,4,1/1/2001
2002,Roraima,August,7,1/1/2002
2003,Roraima,August,2,1/1/2003
2004,Roraima,August,18,1/1/2004
2005,Roraima,August,9,1/1/2005
2006,Roraima,August,4,1/1/2006
2007,Roraima,August,2,1/1/2007
2008,Roraima,August,4,1/1/2008
2009,Roraima,August,29,1/1/2009
2010,Roraima,August,3,1/1/2010
2011,Roraima,August,39,1/1/2011
2012,Roraima,August,4,1/1/2012
2013,Roraima,August,3,1/1/2013
2014,Roraima,August,12,1/1/2014
2015,Roraima,August,11,1/1/2015
2016,Roraima,August,11,1/1/2016
2017,Roraima,August,35,1/1/2017
1998,Roraima,September,2,1/1/1998
1999,Roraima,September,3,1/1/1999
2000,Roraima,September,12,1/1/2000
2001,Roraima,September,1,1/1/2001
2002,Roraima,September,48,1/1/2002
2003,Roraima,September,6,1/1/2003
2004,Roraima,September,9,1/1/2004
2005,Roraima,September,72,1/1/2005
2006,Roraima,September,40,1/1/2006
2007,Roraima,September,9,1/1/2007
2008,Roraima,September,17,1/1/2008
2009,Roraima,September,117,1/1/2009
2010,Roraima,September,18,1/1/2010
2011,Roraima,September,53,1/1/2011
2012,Roraima,September,67,1/1/2012
2013,Roraima,September,18,1/1/2013
2014,Roraima,September,67,1/1/2014
2015,Roraima,September,77,1/1/2015
2016,Roraima,September,19,1/1/2016
2017,Roraima,September,43,1/1/2017
1998,Roraima,October,1,1/1/1998
1999,Roraima,October,10,1/1/1999
2000,Roraima,October,25,1/1/2000
2001,Roraima,October,13,1/1/2001
2002,Roraima,October,191,1/1/2002
2003,Roraima,October,14,1/1/2003
2004,Roraima,October,53,1/1/2004
2005,Roraima,October,88,1/1/2005
2006,Roraima,October,135,1/1/2006
2007,Roraima,October,15,1/1/2007
2008,Roraima,October,78,1/1/2008
2009,Roraima,October,197,1/1/2009
2010,Roraima,October,64,1/1/2010
2011,Roraima,October,65,1/1/2011
2012,Roraima,October,152,1/1/2012
2013,Roraima,October,63,1/1/2013
2014,Roraima,October,61,1/1/2014
2015,Roraima,October,181,1/1/2015
2016,Roraima,October,101,1/1/2016
2017,Roraima,October,156,1/1/2017
1998,Roraima,November,1,1/1/1998
1999,Roraima,November,15,1/1/1999
2000,Roraima,November,32,1/1/2000
2001,Roraima,November,76,1/1/2001
2002,Roraima,November,133,1/1/2002
2003,Roraima,November,27,1/1/2003
2004,Roraima,November,135,1/1/2004
2005,Roraima,November,135,1/1/2005
2006,Roraima,November,26,1/1/2006
2007,Roraima,November,112,1/1/2007
2008,Roraima,November,39,1/1/2008
2009,Roraima,November,312,1/1/2009
2010,Roraima,November,27,1/1/2010
2011,Roraima,November,121,1/1/2011
2012,Roraima,November,187,1/1/2012
2013,Roraima,November,106,1/1/2013
2014,Roraima,November,143,1/1/2014
2015,Roraima,November,280,1/1/2015
2016,Roraima,November,71,1/1/2016
2017,Roraima,November,327,1/1/2017
1998,Roraima,December,16,1/1/1998
1999,Roraima,December,35,1/1/1999
2000,Roraima,December,77,1/1/2000
2001,Roraima,December,76,1/1/2001
2002,Roraima,December,199,1/1/2002
2003,Roraima,December,157,1/1/2003
2004,Roraima,December,160,1/1/2004
2005,Roraima,December,71,1/1/2005
2006,Roraima,December,101,1/1/2006
2007,Roraima,December,8,1/1/2007
2008,Roraima,December,5,1/1/2008
2009,Roraima,December,290,1/1/2009
2010,Roraima,December,73,1/1/2010
2011,Roraima,December,249,1/1/2011
2012,Roraima,December,78,1/1/2012
2013,Roraima,December,65,1/1/2013
2014,Roraima,December,277,1/1/2014
2015,Roraima,December,304,1/1/2015
2016,Roraima,December,136,1/1/2016
1998,Santa Catarina,January,0,1/1/1998
1999,Santa Catarina,January,11,1/1/1999
2000,Santa Catarina,January,14,1/1/2000
2001,Santa Catarina,January,11,1/1/2001
2002,Santa Catarina,January,22,1/1/2002
2003,Santa Catarina,January,45,1/1/2003
2004,Santa Catarina,January,37,1/1/2004
2005,Santa Catarina,January,46,1/1/2005
2006,Santa Catarina,January,41,1/1/2006
2007,Santa Catarina,January,9,1/1/2007
2008,Santa Catarina,January,25,1/1/2008
2009,Santa Catarina,January,21,1/1/2009
2010,Santa Catarina,January,2,1/1/2010
2011,Santa Catarina,January,9,1/1/2011
2012,Santa Catarina,January,14,1/1/2012
2013,Santa Catarina,January,18,1/1/2013
2014,Santa Catarina,January,58,1/1/2014
2015,Santa Catarina,January,28,1/1/2015
2016,Santa Catarina,January,53,1/1/2016
2017,Santa Catarina,January,46,1/1/2017
1998,Santa Catarina,February,0,1/1/1998
1999,Santa Catarina,February,2,1/1/1999
2000,Santa Catarina,February,8,1/1/2000
2001,Santa Catarina,February,0,1/1/2001
2002,Santa Catarina,February,5,1/1/2002
2003,Santa Catarina,February,43,1/1/2003
2004,Santa Catarina,February,29,1/1/2004
2005,Santa Catarina,February,46,1/1/2005
2006,Santa Catarina,February,18,1/1/2006
2007,Santa Catarina,February,14,1/1/2007
